video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,gt,abs_error_cm,rel_error_%,fish_dist_from_camera,especie_gt,failure_reason,unique_track,scenario
2024_11_12,10_44_11_0,10_44_11_0,frame_130,0,255,3,0,False,False,True,1.312205195426941,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_131,0,255,3,0,False,False,True,1.5359878540039062,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_132,0,255,3,0,False,False,True,2.338397026062012,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_136,0,255,3,0,False,False,True,3.235250949859619,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_163,0,255,3,0,False,False,True,2.6526381969451904,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_164,0,255,3,0,False,False,True,2.479205369949341,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_165,0,255,3,0,False,False,True,2.221608161926269,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_166,0,255,3,0,False,False,True,2.10178804397583,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_167,0,255,3,0,False,False,True,2.166344165802002,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_173,0,255,3,0,True,False,True,2.485302209854126,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_183,0,255,3,0,False,False,True,2.2082512378692627,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_185,0,255,3,0,False,False,True,2.4071950912475586,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_186,0,255,3,0,False,False,True,2.4010791778564453,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_187,0,255,3,0,False,False,True,2.2977447509765625,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
2024_11_12,10_44_11_0,10_44_11_0,frame_188,0,255,3,0,False,False,True,2.290216445922852,False,[],,,,,,,31.5,,,,lubina0,,2024_11_12/10_44_11_0/3,single_fish
