video_day,source_folder,video_name,frame_id,class_name,object_id,track_id,is_3D_complete,in_image_borders,does_overlap,is_front_fish,aspect_ratio,pointcloud_size_ok,fish_3d_ok,overlapping_fish_ids,fish_direction,elevation_deg,azimuth_deg,raw_length,filtered_length,spine_length,rel_error_%,fish_dist_from_camera,unique_track,especie_gt,gt,failure_reason,abs_error_cm
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_42,0,255,2,1,True,False,True,4.021713699536999,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_43,0,255,2,1,True,False,True,3.747008521396454,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_44,0,255,1,1,False,False,True,2.81637421908897,True,True,[],[   0.047991    0.022564     0.99859],18.70207344059181,-10.512618492877872,0.529658237928115,0.2118016984104987,0.2093585383019736,36.77561241477649,1.7636928144661943,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,9.31983015895013
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_44,0,127,2,1,True,False,True,4.014384316751965,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_45,0,255,1,1,False,False,True,2.8396225813486926,True,True,[],[   0.082458    0.021926     0.99635],18.64032305190121,-11.02012863937383,0.527559821049846,0.2134251660523154,0.207870324920697,36.29099520826406,1.7647343512411948,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,9.157483394768459
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_45,0,127,2,1,True,False,True,3.925170728220273,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_46,0,255,1,1,False,False,True,2.7836467255845085,True,True,[],[   0.065426    0.023425     0.99758],18.676589676078542,-9.636280868784244,0.5415623674615668,0.2169766564855977,0.2222894451863257,35.23084881026934,1.761659429291365,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,8.80233435144023
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_46,0,127,2,1,True,False,True,3.826747695820905,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_47,0,255,1,1,False,False,True,2.8141431926234795,True,True,[],[   0.085791     0.03779      0.9956],19.440898476904973,-6.365827567285238,0.5527975384086967,0.2195238335851802,0.2156305457640921,34.47049743725963,1.7624661291967023,2025_05_08/11-28-42_0/1,ochoa_petita,30.5,,8.54761664148198
2025_05_08,11_28_42_11-28-42_0,11-28-42_0,frame_47,0,127,2,1,True,False,True,3.916405873002768,,False,[],,,,,,,,,2025_05_08/11-28-42_0/2,llobarro,33.5,,
